Group,Cumulative Profits,Total Runtime (seconds),Overall Feasible,Score,Date Time
Group2,0.00,1.02,No,N/A,2024-03-12 11:04:41
Group1,0.00,0.88,No,N/A,2024-03-12 11:04:42
Group2,0.00,1.02,No,N/A,2024-03-12 11:05:04
Group1,0.00,0.92,No,N/A,2024-03-12 11:05:05
Group2,0.00,1.00,No,N/A,2024-03-12 11:33:29
Group1,0.00,0.85,No,N/A,2024-03-12 11:33:30
Group2,0.00,0.97,No,N/A,2024-03-12 11:41:00
Group1,0.00,0.88,No,N/A,2024-03-12 11:41:00
Group2,0.00,1.06,No,N/A,2024-03-12 11:44:24
Group1,0.00,0.94,No,N/A,2024-03-12 11:44:24
Group3,0.00,0.99,No,N/A,2024-03-12 11:44:43
Group2,0.00,0.99,No,N/A,2024-03-12 11:44:44
Group1,0.00,0.87,No,N/A,2024-03-12 11:44:45
Group2,0.00,1.02,No,N/A,2024-03-12 12:04:45
Group1,0.00,0.92,No,N/A,2024-03-12 12:04:45
